block_lo,block_hi,country
16384,18431,Zimbabwe
24576,28671,Mozambique
32768,65535,South Africa
65536,98303,Egypt
98304,131071,Libya
131072,163839,Morocco
163840,196607,Tunisia
196608,198655,Botswana
204800,208895,Burundi
212992,217087,Cameroon
217088,219135,Comoros
221184,225279,Republic of the Congo
229376,233471,Côte d’Ivoire
253952,258047,Gabon
262144,266239,Ethiopia
270336,274431,Equatorial Guinea
278528,282623,Ghana
286720,290815,Guinea
294912,296959,Guinea-Bissau
303104,305151,Lesotho
311296,315391,Kenya
327680,331775,Liberia
344064,348159,Madagascar
360448,364543,Malawi
368640,370687,Maldives
376832,380927,Mali
385024,387071,Mauritania
393216,395263,Mauritius
401408,405503,Niger
409600,413695,Nigeria
425984,430079,Uganda
434176,438271,Qatar
442368,446463,Central African Republic
450560,454655,Rwanda
458752,462847,Senegal
475136,477183,Seychelles
483328,485375,Sierra Leone
491520,495615,Somalia
499712,501759,Eswatini
507904,511999,Sudan
524288,528383,Tanzania
540672,544767,Chad
557056,561151,Togo
565248,569343,Zambia
573440,577535,DR Congo
589824,593919,Angola
606208,608255,Benin
614400,616447,Cabo Verde
622592,624639,Djibouti
630784,634879,Gambia
638976,643071,Burkina Faso
647168,649215,São Tomé and Príncipe
655360,688127,Algeria
688128,692223,Bahamas
696320,698367,Barbados
700416,702463,Belize
704512,712703,Colombia
712704,716799,Costa Rica
720896,724991,Cuba
729088,733183,El Salvador
737280,741375,Guatemala
745472,749567,Guyana
753664,757759,Haiti
761856,765951,Honduras
770048,772095,Saint Vincent and the Grenadines
778240,782335,Jamaica
786432,790527,Nicaragua
794624,798719,Panama
802816,806911,Dominican Republic
811008,815103,Trinidad and Tobago
819200,823295,Suriname
827392,829439,Antigua and Barbuda
835584,837631,Grenada
851968,884735,Mexico
884736,917503,Venezuela
1048576,2097151,Russia
2101248,2103295,Namibia
2105344,2107391,Eritrea
3145728,3407871,Italy
3407872,3670015,Spain
3670016,3932159,France
3932160,4194303,Germany
4194304,4194751,Bermuda
4194752,4194815,Cayman Islands
4194816,4195071,United Kingdom
4195072,4195327,Turks and Caicos Islands
4195328,4342068,United Kingdom
4342069,4342258,Cayman Islands
4342259,4342271,United Kingdom
4342272,4343551,Bermuda
4343552,4343961,Cayman Islands
4343962,4344575,United Kingdom
4344576,4344831,Isle of Man
4344832,4439551,United Kingdom
4439552,4439807,Bermuda
4439808,4450047,United Kingdom
4450048,4451069,Isle of Man
4451070,4452095,Guernsey
4452096,4456447,United Kingdom
4456448,4489215,Austria
4489216,4521983,Belgium
4521984,4554751,Bulgaria
4554752,4587519,Denmark
4587520,4620287,Finland
4620288,4653055,Greece
4653056,4685823,Hungary
4685824,4718591,Norway
4718592,4751359,Netherlands
4751360,4784127,Poland
4784128,4816895,Portugal
4816896,4849663,Czechia
4849664,4882431,Romania
4882432,4915199,Sweden
4915200,4947967,Switzerland
4947968,4980735,Turkey
4980736,5013503,Serbia
5013504,5015551,Cyprus
5021696,5025791,Ireland
5029888,5033983,Iceland
5046272,5048319,Luxembourg
5054464,5056511,Malta
5062656,5064703,Monaco
5242880,5244927,San Marino
5246976,5249023,Albania
5249024,5251071,Croatia
5253120,5255167,Latvia
5257216,5259263,Lithuania
5261312,5263359,Moldova
5265408,5267455,Slovakia
5269504,5271551,Slovenia
5273600,5275647,Uzbekistan
5275648,5308415,Ukraine
5308416,5310463,Belarus
5312512,5314559,Estonia
5316608,5318655,North Macedonia
5320704,5322751,Bosnia and Herzegovina
5324800,5326847,Georgia
5328896,5330943,Tajikistan
5332992,5335039,Montenegro
6291456,6293503,Armenia
6293504,6295551,Azerbaijan
6295552,6297599,Kyrgyzstan
6297600,6299647,Turkmenistan
6815744,6817791,Bhutan
6819840,6821887,"Micronesia, Federated States of"
6823936,6825983,Mongolia
6828032,6830079,Kazakhstan
6832128,6834175,Palau
7340032,7344127,Afghanistan
7348224,7352319,Bangladesh
7356416,7360511,Myanmar
7364608,7368703,Kuwait
7372800,7376895,Laos
7380992,7385087,Nepal
7389184,7391231,Oman
7397376,7401471,Cambodia
7405568,7438335,Saudi Arabia
7438336,7471103,South Korea
7471104,7503871,North Korea
7503872,7536639,Iraq
7536640,7569407,Iran
7569408,7602175,Israel
7602176,7634943,Jordan
7634944,7667711,Lebanon
7667712,7700479,Malaysia
7700480,7733247,Philippines
7733248,7766015,Pakistan
7766016,7798783,Singapore
7798784,7831551,Sri Lanka
7831552,7864319,Syria
7864320,7901183,China
7901184,7905279,Hong Kong
7905280,8126463,China
8126464,8388607,Australia
8388608,8650751,India
8650752,8912895,Japan
8912896,8945663,Thailand
8945664,8978431,Viet Nam
8978432,8982527,Yemen
8994816,8998911,Bahrain
8998912,9000959,Brunei
9003008,9007103,United Arab Emirates
9007104,9009151,Solomon Islands
9011200,9015295,Papua New Guinea
9015296,9017343,Taiwan
9043968,9076735,Indonesia
9437184,9439231,Marshall Islands
9441280,9443327,Cook Islands
9445376,9447423,Samoa
10485760,11534335,United States
12582912,12845055,Canada
13107200,13139967,New Zealand
13139968,13144063,Fiji
13148160,13150207,Nauru
13156352,13158399,Saint Lucia
13160448,13162495,Tonga
13164544,13166591,Kiribati
13172736,13174783,Vanuatu
13176832,13178879,Andorra
13180928,13182975,Dominica
13185024,13187071,Saint Kitts and Nevis
13189120,13191167,South Sudan
13193216,13195263,Timor-Leste
13201408,13203455,Tuvalu
14680064,14942207,Argentina
14942208,15204351,Brazil
15204352,15208447,Chile
15220736,15224831,Ecuador
15237120,15241215,Paraguay
15253504,15257599,Peru
15269888,15273983,Uruguay
15286272,15290367,Bolivia
15728640,15761407,ICAO (temporary)
15765504,15767551,ICAO (special use)
